date,median_sfh_price_past_3_months
1/31/12,485000
2/29/12,528000
3/31/12,568000
4/30/12,620000
5/31/12,630000
6/30/12,673000
7/31/12,682000
8/31/12,655000
9/30/12,645000
10/31/12,673000
11/30/12,585000
12/31/12,585000
1/31/13,651000
2/28/13,705000
3/31/13,731000
4/30/13,790000
5/31/13,815000
6/30/13,800000
7/31/13,835000
8/31/13,800000
9/30/13,767000
10/31/13,773000
11/30/13,780000
12/31/13,760000
1/31/14,721000
2/28/14,800000
3/31/14,859000
4/30/14,890000
5/31/14,875000
6/30/14,900000
7/31/14,855000
8/31/14,863000
9/30/14,848000
10/31/14,870000
11/30/14,842000
12/31/14,830000
1/31/15,813000
2/28/15,889000
3/31/15,932000
4/30/15,950000
5/31/15,975000
6/30/15,990000
7/31/15,960000
8/31/15,970000
9/30/15,960000
10/31/15,940000
11/30/15,960000
12/31/15,910000
1/31/16,895000
2/29/16,945000
3/31/16,1058000
4/30/16,1080000
5/31/16,1100000
6/30/16,1035000
7/31/16,1045000
8/31/16,970000
9/30/16,997000
10/31/16,1040000
11/30/16,1009000
12/31/16,957000
1/31/17,926000
2/28/17,1082000
3/31/17,1130000
4/30/17,1160000
5/31/17,1195000
6/30/17,1200000
7/31/17,1160000
8/31/17,1150000
9/30/17,1153000
10/31/17,1250000
11/30/17,1280000
12/31/17,1284000
1/31/18,1157000
2/28/18,1381000
3/31/18,1460000
4/30/18,1450000
5/31/18,1360000
6/30/18,1410000
7/31/18,1450000
8/31/18,1480000
9/30/18,1350000
10/31/18,1300000
11/30/18,1300000
,